Date,Open,High,Low,Close,Adj Close,Volume,Common Shares Outstanding,Avg. Basic Shares Outstanding,Avg. Diluted Shares Outstanding,Share Price,Market Capitalisation,Revenues,COGS,SG&A,R&D,EBIT,EBITDA,"Interest expense, net",Abnormal Gains/Losses,Income Taxes,Net Income from Discontinued Op.,Net Profit,Dividends,"Cash, Cash Equivalents & Short Term Investments",Cash & Cash Equivalents,Short Term Investments,Receivables,Current Assets,Net PP&E,Intangible Assets,Goodwill,Total Noncurrent Assets,Total Assets,Short term debt,Accounts Payable,Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity,Share Capital,Treasury Stock,Retained Earnings,Equity Before Minorities,Minorities,Total Equity,Depreciation & Amortisation,Change in Working Capital,Cash From Operating Activities,Net Change in PP&E & Intangibles,Cash From Investing Activities,Cash From Financing Activities,Net Change in Cash,Free Cash Flow,Gross Margin,Operating Margin,Net Profit Margin,Return on Equity,Return on Assets,Current Ratio,Liabilities to Equity Ratio,Debt to Assets Ratio,EV / EBITDA,EV / Sales,Book to Market,Operating Income / EV,Enterprise Value,Returns
2018-04-04,87.849998,92.760002,87.730003,92.330002,90.162323,35560000,7699792.852,7715000,7809000,90.46,695637.4,28918,11064,5671,3504,8679,11215,0,0,15471,0,-6302,-3238,142780,12859,129921,18428,167633,26304,9034,35355,88370,256003,15912,7850,58099,73348,119544,177643,0,70192,0,8567,78360,0,78360,2536,13644,7875,-2586,-331,-1552,5975,6802,0.6174,0.3001,-0.2179,-0.0804,-0.0246,2.8853,2.267,0.3487,58.8378,22.8185,0.1098,0.0132,659865.8077,0.02920525057636
2018-04-05,92.440002,93.07,91.400002,92.379997,90.211143,29771900,7699792.852,7715000,7809000,90.5,695945,28918,11064,5671,3504,8679,11215,0,0,15471,0,-6302,-3238,142780,12859,129921,18428,167633,26304,9034,35355,88370,256003,15912,7850,58099,73348,119544,177643,0,70192,0,8567,78360,0,78360,2536,13644,7875,-2586,-331,-1552,5975,6802,0.6174,0.3001,-0.2179,-0.0804,-0.0246,2.8853,2.267,0.3487,58.8378,22.8185,0.1098,0.0132,659865.8077,0.000541481630207
2018-04-06,91.489998,92.459999,89.480003,90.230003,88.111626,38026000,7699792.852,7715000,7809000,88.4,679796,28918,11064,5671,3504,8679,11215,0,0,15471,0,-6302,-3238,142780,12859,129921,18428,167633,26304,9034,35355,88370,256003,15912,7850,58099,73348,119544,177643,0,70192,0,8567,78360,0,78360,2536,13644,7875,-2586,-331,-1552,5975,6802,0.6174,0.3001,-0.2179,-0.0804,-0.0246,2.8853,2.267,0.3487,58.8378,22.8185,0.1098,0.0132,659865.8077,-0.023273371615286
2018-04-09,91.040001,93.169998,90.620003,90.769997,88.638939,31533900,7699792.852,7715000,7809000,88.93,683871.7,28918,11064,5671,3504,8679,11215,0,0,15471,0,-6302,-3238,142780,12859,129921,18428,167633,26304,9034,35355,88370,256003,15912,7850,58099,73348,119544,177643,0,70192,0,8567,78360,0,78360,2536,13644,7875,-2586,-331,-1552,5975,6802,0.6174,0.3001,-0.2179,-0.0804,-0.0246,2.8853,2.267,0.3487,58.8378,22.8185,0.1098,0.0132,659865.8077,0.005984639056257
2018-04-10,92.389999,93.279999,91.639999,92.879997,90.699394,26812000,7699792.852,7715000,7809000,90.99,699713.1,28918,11064,5671,3504,8679,11215,0,0,15471,0,-6302,-3238,142780,12859,129921,18428,167633,26304,9034,35355,88370,256003,15912,7850,58099,73348,119544,177643,0,70192,0,8567,78360,0,78360,2536,13644,7875,-2586,-331,-1552,5975,6802,0.6174,0.3001,-0.2179,-0.0804,-0.0246,2.8853,2.267,0.3487,58.8378,22.8185,0.1098,0.0132,659865.8077,0.023245566483824
2018-04-11,92.010002,93.290001,91.480003,91.860001,89.703362,24872100,7699792.852,7715000,7809000,90,692100,28918,11064,5671,3504,8679,11215,0,0,15471,0,-6302,-3238,142780,12859,129921,18428,167633,26304,9034,35355,88370,256003,15912,7850,58099,73348,119544,177643,0,70192,0,8567,78360,0,78360,2536,13644,7875,-2586,-331,-1552,5975,6802,0.6174,0.3001,-0.2179,-0.0804,-0.0246,2.8853,2.267,0.3487,58.8378,22.8185,0.1098,0.0132,659865.8077,-0.010981869433092
2018-04-12,92.43,94.160004,92.43,93.580002,91.382973,26758900,7699792.852,7715000,7809000,91.68,705019.2,28918,11064,5671,3504,8679,11215,0,0,15471,0,-6302,-3238,142780,12859,129921,18428,167633,26304,9034,35355,88370,256003,15912,7850,58099,73348,119544,177643,0,70192,0,8567,78360,0,78360,2536,13644,7875,-2586,-331,-1552,5975,6802,0.6174,0.3001,-0.2179,-0.0804,-0.0246,2.8853,2.267,0.3487,58.8378,22.8185,0.1098,0.0132,659865.8077,0.018724156121009
2018-04-13,94.050003,94.18,92.440002,93.080002,90.894714,23346100,7699792.852,7715000,7809000,91.19,701251.1,28918,11064,5671,3504,8679,11215,0,0,15471,0,-6302,-3238,142780,12859,129921,18428,167633,26304,9034,35355,88370,256003,15912,7850,58099,73348,119544,177643,0,70192,0,8567,78360,0,78360,2536,13644,7875,-2586,-331,-1552,5975,6802,0.6174,0.3001,-0.2179,-0.0804,-0.0246,2.8853,2.267,0.3487,58.8378,22.8185,0.1098,0.0132,659865.8077,-0.005343021899059
2018-04-16,94.07,94.660004,93.419998,94.169998,91.959106,20288100,7699792.852,7715000,7809000,92.26,709479.4,28918,11064,5671,3504,8679,11215,0,0,15471,0,-6302,-3238,142780,12859,129921,18428,167633,26304,9034,35355,88370,256003,15912,7850,58099,73348,119544,177643,0,70192,0,8567,78360,0,78360,2536,13644,7875,-2586,-331,-1552,5975,6802,0.6174,0.3001,-0.2179,-0.0804,-0.0246,2.8853,2.267,0.3487,58.8378,22.8185,0.1098,0.0132,659865.8077,0.01171031345702
2018-04-17,95,96.540001,94.879997,96.07,93.814514,26771000,7699792.852,7715000,7809000,94.12,723782.8,28918,11064,5671,3504,8679,11215,0,0,15471,0,-6302,-3238,142780,12859,129921,18428,167633,26304,9034,35355,88370,256003,15912,7850,58099,73348,119544,177643,0,70192,0,8567,78360,0,78360,2536,13644,7875,-2586,-331,-1552,5975,6802,0.6174,0.3001,-0.2179,-0.0804,-0.0246,2.8853,2.267,0.3487,58.8378,22.8185,0.1098,0.0132,659865.8077,0.020176298612643
2018-04-18,96.220001,96.720001,95.519997,96.440002,94.175827,21043300,7699792.852,7715000,7809000,94.48,726551.2,28918,11064,5671,3504,8679,11215,0,0,15471,0,-6302,-3238,142780,12859,129921,18428,167633,26304,9034,35355,88370,256003,15912,7850,58099,73348,119544,177643,0,70192,0,8567,78360,0,78360,2536,13644,7875,-2586,-331,-1552,5975,6802,0.6174,0.3001,-0.2179,-0.0804,-0.0246,2.8853,2.267,0.3487,58.8378,22.8185,0.1098,0.0132,659865.8077,0.003851379202665
2018-04-19,96.440002,97.07,95.339996,96.110001,93.853577,23552500,7699792.852,7715000,7809000,94.16,724090.4,28918,11064,5671,3504,8679,11215,0,0,15471,0,-6302,-3238,142780,12859,129921,18428,167633,26304,9034,35355,88370,256003,15912,7850,58099,73348,119544,177643,0,70192,0,8567,78360,0,78360,2536,13644,7875,-2586,-331,-1552,5975,6802,0.6174,0.3001,-0.2179,-0.0804,-0.0246,2.8853,2.267,0.3487,58.8378,22.8185,0.1098,0.0132,659865.8077,-0.003421826971758
2018-04-20,95.910004,96.110001,94.050003,95,92.76963,31154400,7683197.503,7715000,7809000,93.07,715075.1916,28918,11064,5671,3504,8679,11215,0,0,15471,0,-6302,-3238,142780,12859,129921,18428,167633,26304,9034,35355,88370,256003,15912,7850,58099,73348,119544,177643,0,70192,0,8567,78360,0,78360,2536,13644,7875,-2586,-331,-1552,5975,6802,0.6174,0.3001,-0.2179,-0.0804,-0.0246,2.8853,2.267,0.3487,58.8378,22.8185,0.1098,0.0132,659865.8077,-0.011549276750086
2018-04-23,95.739998,96.290001,94.629997,95.349998,93.111412,22331800,7683197.503,7715000,7809000,93.41,717687.4788,28918,11064,5671,3504,8679,11215,0,0,15471,0,-6302,-3238,142780,12859,129921,18428,167633,26304,9034,35355,88370,256003,15912,7850,58099,73348,119544,177643,0,70192,0,8567,78360,0,78360,2536,13644,7875,-2586,-331,-1552,5975,6802,0.6174,0.3001,-0.2179,-0.0804,-0.0246,2.8853,2.267,0.3487,58.8378,22.8185,0.1098,0.0132,659865.8077,0.003684189473684
2018-04-24,96.239998,96.470001,92.410004,93.120003,90.933769,34524800,7683197.503,7715000,7809000,91.23,700938.1082,28918,11064,5671,3504,8679,11215,0,0,15471,0,-6302,-3238,142780,12859,129921,18428,167633,26304,9034,35355,88370,256003,15912,7850,58099,73348,119544,177643,0,70192,0,8567,78360,0,78360,2536,13644,7875,-2586,-331,-1552,5975,6802,0.6174,0.3001,-0.2179,-0.0804,-0.0246,2.8853,2.267,0.3487,58.8378,22.8185,0.1098,0.0132,659865.8077,-0.02338746771657
2018-04-25,93.300003,93.300003,90.279999,92.309998,90.142799,33729300,7683197.503,7715000,7809000,90.44,694868.3822,28918,11064,5671,3504,8679,11215,0,0,15471,0,-6302,-3238,142780,12859,129921,18428,167633,26304,9034,35355,88370,256003,15912,7850,58099,73348,119544,177643,0,70192,0,8567,78360,0,78360,2536,13644,7875,-2586,-331,-1552,5975,6802,0.6174,0.3001,-0.2179,-0.0804,-0.0246,2.8853,2.267,0.3487,58.8378,22.8185,0.1098,0.0132,659865.8077,-0.00869850702217
2018-04-26,93.550003,95.150002,93.099998,94.260002,92.047012,42529000,7683197.503,7715000,7809000,92.35,709543.2894,26819,9269,5543,3715,8292,11002,0,0,1217,0,7424,-3232,132270,9221,123049,17208,156659,27929,8544,35582,88838,245497,3677,7623,46133,73480,120125,166258,0,70418,0,9974,79239,0,79239,2710,1882,12151,-2934,3844,-19658,-3638,8733,0.6544,0.3092,0.2768,0.0937,0.0302,3.3958,2.0982,0.3143,59.4828,24.4017,0.1117,0.0127,654430.2894,0.021124515678139
2018-04-27,97.599998,97.900002,93.910004,95.82,93.570381,48272800,7683197.503,7715000,7809000,93.88,721298.5816,26819,9269,5543,3715,8292,11002,0,0,1217,0,7424,-3232,132270,9221,123049,17208,156659,27929,8544,35582,88838,245497,3677,7623,46133,73480,120125,166258,0,70418,0,9974,79239,0,79239,2710,1882,12151,-2934,3844,-19658,-3638,8733,0.6544,0.3092,0.2768,0.0937,0.0302,3.3958,2.0982,0.3143,59.4828,24.4017,0.1117,0.0127,654430.2894,0.016549946604075
2018-04-30,96.330002,96.400002,93.150002,93.519997,91.324371,41523600,7683197.503,7715000,7809000,91.62,703934.5552,26819,9269,5543,3715,8292,11002,0,0,1217,0,7424,-3232,132270,9221,123049,17208,156659,27929,8544,35582,88838,245497,3677,7623,46133,73480,120125,166258,0,70418,0,9974,79239,0,79239,2710,1882,12151,-2934,3844,-19658,-3638,8733,0.6544,0.3092,0.2768,0.0937,0.0302,3.3958,2.0982,0.3143,59.4828,24.4017,0.1117,0.0127,654430.2894,-0.024003370903778
2018-05-01,93.209999,95.290001,92.790001,95,92.76963,31408900,7683197.503,7715000,7809000,93.07,715075.1916,26819,9269,5543,3715,8292,11002,0,0,1217,0,7424,-3232,132270,9221,123049,17208,156659,27929,8544,35582,88838,245497,3677,7623,46133,73480,120125,166258,0,70418,0,9974,79239,0,79239,2710,1882,12151,-2934,3844,-19658,-3638,8733,0.6544,0.3092,0.2768,0.0937,0.0302,3.3958,2.0982,0.3143,59.4828,24.4017,0.1117,0.0127,654430.2894,0.015825524459758
2018-05-02,94.989998,95.169998,93.190002,93.510002,91.314621,27471000,7683197.503,7715000,7809000,91.61,703857.7232,26819,9269,5543,3715,8292,11002,0,0,1217,0,7424,-3232,132270,9221,123049,17208,156659,27929,8544,35582,88838,245497,3677,7623,46133,73480,120125,166258,0,70418,0,9974,79239,0,79239,2710,1882,12151,-2934,3844,-19658,-3638,8733,0.6544,0.3092,0.2768,0.0937,0.0302,3.3958,2.0982,0.3143,59.4828,24.4017,0.1117,0.0127,654430.2894,-0.015684189473684
2018-05-03,92.959999,94.93,92.449997,94.07,91.861473,31142500,7683197.503,7715000,7809000,92.16,708083.4819,26819,9269,5543,3715,8292,11002,0,0,1217,0,7424,-3232,132270,9221,123049,17208,156659,27929,8544,35582,88838,245497,3677,7623,46133,73480,120125,166258,0,70418,0,9974,79239,0,79239,2710,1882,12151,-2934,3844,-19658,-3638,8733,0.6544,0.3092,0.2768,0.0937,0.0302,3.3958,2.0982,0.3143,59.4828,24.4017,0.1117,0.0127,654430.2894,0.005988642797805
2018-05-04,93.32,95.370003,92.919998,95.160004,92.925873,22531300,7683197.503,7715000,7809000,93.23,716304.5032,26819,9269,5543,3715,8292,11002,0,0,1217,0,7424,-3232,132270,9221,123049,17208,156659,27929,8544,35582,88838,245497,3677,7623,46133,73480,120125,166258,0,70418,0,9974,79239,0,79239,2710,1882,12151,-2934,3844,-19658,-3638,8733,0.6544,0.3092,0.2768,0.0937,0.0302,3.3958,2.0982,0.3143,59.4828,24.4017,0.1117,0.0127,654430.2894,0.01158715849899
2018-05-07,95.169998,96.709999,95.099998,96.220001,93.960991,24242000,7683197.503,7715000,7809000,94.27,724295.0286,26819,9269,5543,3715,8292,11002,0,0,1217,0,7424,-3232,132270,9221,123049,17208,156659,27929,8544,35582,88838,245497,3677,7623,46133,73480,120125,166258,0,70418,0,9974,79239,0,79239,2710,1882,12151,-2934,3844,-19658,-3638,8733,0.6544,0.3092,0.2768,0.0937,0.0302,3.3958,2.0982,0.3143,59.4828,24.4017,0.1117,0.0127,654430.2894,0.011139102095876
2018-05-08,95.849998,96.160004,95.059998,95.809998,93.560616,23484600,7683197.503,7715000,7809000,93.87,721221.7496,26819,9269,5543,3715,8292,11002,0,0,1217,0,7424,-3232,132270,9221,123049,17208,156659,27929,8544,35582,88838,245497,3677,7623,46133,73480,120125,166258,0,70418,0,9974,79239,0,79239,2710,1882,12151,-2934,3844,-19658,-3638,8733,0.6544,0.3092,0.2768,0.0937,0.0302,3.3958,2.0982,0.3143,59.4828,24.4017,0.1117,0.0127,654430.2894,-0.004261099519215
2018-05-09,96.010002,96.970001,95.050003,96.940002,94.664101,27327400,7683197.503,7715000,7809000,94.97,729673.2669,26819,9269,5543,3715,8292,11002,0,0,1217,0,7424,-3232,132270,9221,123049,17208,156659,27929,8544,35582,88838,245497,3677,7623,46133,73480,120125,166258,0,70418,0,9974,79239,0,79239,2710,1882,12151,-2934,3844,-19658,-3638,8733,0.6544,0.3092,0.2768,0.0937,0.0302,3.3958,2.0982,0.3143,59.4828,24.4017,0.1117,0.0127,654430.2894,0.011794217968776
2018-05-10,97.459999,97.949997,97.050003,97.910004,95.611313,22388100,7683197.503,7715000,7809000,95.92,736972.3045,26819,9269,5543,3715,8292,11002,0,0,1217,0,7424,-3232,132270,9221,123049,17208,156659,27929,8544,35582,88838,245497,3677,7623,46133,73480,120125,166258,0,70418,0,9974,79239,0,79239,2710,1882,12151,-2934,3844,-19658,-3638,8733,0.6544,0.3092,0.2768,0.0937,0.0302,3.3958,2.0982,0.3143,59.4828,24.4017,0.1117,0.0127,654430.2894,0.010006209820379
