MSFT,59265,101003,Share Price,2009-03-30,13.63
MSFT,59265,101003,Market Capitalisation,2009-03-30,124728.13
MSFT,59265,101003,Share Price,2009-03-31,14.33
MSFT,59265,101003,Avg. Basic Shares Outstanding,2009-03-31,8891000.00
MSFT,59265,101003,Avg. Diluted Shares Outstanding,2009-03-31,8904000.00
MSFT,59265,101003,Market Capitalisation,2009-03-31,131133.83
MSFT,59265,101003,Share Price,2009-04-01,15.06
MSFT,59265,101003,Market Capitalisation,2009-04-01,137814.06
MSFT,59265,101003,Share Price,2009-04-02,15.04
MSFT,59265,101003,Market Capitalisation,2009-04-02,137631.04
MSFT,59265,101003,Share Price,2009-04-03,14.62
MSFT,59265,101003,Market Capitalisation,2009-04-03,133787.62
MSFT,59265,101003,Market Capitalisation,2009-04-04,133787.62
MSFT,59265,101003,Share Price,2009-04-06,14.63
MSFT,59265,101003,Market Capitalisation,2009-04-06,133879.13
MSFT,59265,101003,Share Price,2009-04-07,14.63
MSFT,59265,101003,Market Capitalisation,2009-04-07,133879.13
MSFT,59265,101003,Share Price,2009-04-08,14.96
MSFT,59265,101003,Market Capitalisation,2009-04-08,136898.96
MSFT,59265,101003,Share Price,2009-04-09,15.34
MSFT,59265,101003,Market Capitalisation,2009-04-09,140376.34
MSFT,59265,101003,Market Capitalisation,2009-04-10,140376.34
MSFT,59265,101003,Share Price,2009-04-13,15.28
MSFT,59265,101003,Market Capitalisation,2009-04-13,139827.28
MSFT,59265,101003,Share Price,2009-04-14,15.09
MSFT,59265,101003,Market Capitalisation,2009-04-14,138088.59
MSFT,59265,101003,Share Price,2009-04-15,14.68
MSFT,59265,101003,Market Capitalisation,2009-04-15,134336.68
MSFT,59265,101003,Share Price,2009-04-16,15.41
MSFT,59265,101003,Market Capitalisation,2009-04-16,141016.91
MSFT,59265,101003,Share Price,2009-04-17,14.97
MSFT,59265,101003,Market Capitalisation,2009-04-17,136990.47
MSFT,59265,101003,Share Price,2009-04-20,14.51
MSFT,59265,101003,Market Capitalisation,2009-04-20,132781.01
MSFT,59265,101003,Share Price,2009-04-21,14.79
MSFT,59265,101003,Market Capitalisation,2009-04-21,135343.29
MSFT,59265,101003,Share Price,2009-04-22,14.64
MSFT,59265,101003,Market Capitalisation,2009-04-22,133970.64
MSFT,59265,101003,Share Price,2009-04-23,14.75
MSFT,59265,101003,Market Capitalisation,2009-04-23,134977.25
MSFT,59265,101003,Share Price,2009-04-24,16.31
MSFT,59265,101003,Market Capitalisation,2009-04-24,149252.81
MSFT,59265,101003,Share Price,2009-04-27,15.91
MSFT,59265,101003,Market Capitalisation,2009-04-27,145592.41
MSFT,59265,101003,Share Price,2009-04-28,15.54
MSFT,59265,101003,Market Capitalisation,2009-04-28,142206.54
MSFT,59265,101003,Share Price,2009-04-29,15.79
MSFT,59265,101003,Market Capitalisation,2009-04-29,144494.29
MSFT,59265,101003,Share Price,2009-04-30,15.80
MSFT,59265,101003,Market Capitalisation,2009-04-30,144585.8
MSFT,59265,101003,Share Price,2009-05-01,15.78
MSFT,59265,101003,Market Capitalisation,2009-05-01,144402.78
